online,local_hour,free_sh_share,avg_eta_hours,city_area,hour,day_of_week,month,tariff_zone_abidjan,tariff_zone_lahore,tariff_zone_lima
148.0,2025-05-12 17:00:00,0.5682306696940843,0.3149356922662265,650,17,0,5,0,1,0
641.0,2025-05-16 12:00:00,0.2043259048344126,0.3225517993069757,400,12,4,5,1,0,0
597.0,2025-05-11 11:00:00,0.6850323813453051,0.3402917119096618,600,11,6,5,0,0,1
117.0,2025-05-03 15:00:00,0.4988136179432129,0.2964944687803922,650,15,5,5,0,1,0
803.0,2025-05-17 13:00:00,0.6408104044487507,0.342550671355061,600,13,5,5,0,0,1
184.0,2025-05-02 22:00:00,0.4489534265083321,0.2077054798323412,400,22,4,5,1,0,0
579.0,2025-05-10 00:00:00,0.9635242019168664,0.177950277280661,600,0,5,5,0,0,1
67.0,2025-05-10 00:00:00,0.6002914145950451,0.1708497723272087,400,0,5,5,1,0,0
681.0,2025-05-15 15:00:00,0.2302315151045732,0.3369335825192545,400,15,3,5,1,0,0
200.0,2025-05-07 02:00:00,0.9814006637592256,0.1319175170068027,600,2,2,5,0,0,1
85.0,2025-05-18 12:00:00,0.5508740588254486,0.3838909488069018,650,12,6,5,0,1,0
501.0,2025-05-14 19:00:00,0.3874558368870596,0.2831475823619702,400,19,2,5,1,0,0
101.0,2025-05-13 20:00:00,0.6080467657023152,0.3117298765142328,650,20,1,5,0,1,0
226.0,2025-05-03 04:00:00,0.974370250266178,0.2559882547917567,600,4,5,5,0,0,1
645.0,2025-05-10 12:00:00,0.2008438009345756,0.3515696312397292,400,12,5,5,1,0,0
492.0,2025-05-11 22:00:00,0.8962804880263114,0.2437533086054369,600,22,6,5,0,0,1
254.0,2025-05-06 05:00:00,0.9658071983655852,0.3965930930930931,600,5,1,5,0,0,1
538.0,2025-05-19 08:00:00,0.8078011209790856,0.3146121560537232,600,8,0,5,0,0,1
134.0,2025-05-05 15:00:00,0.4959510686824024,0.2959682493351495,650,15,0,5,0,1,0
118.0,2025-05-09 23:00:00,0.5284668263276429,0.2049507273896982,400,23,4,5,1,0,0
